photon_energy,coherent,incoherent,photoelectric,total_with_coherent,total_without_coherent
1.000E-03,3.468E-01,5.033E-02,6.817E+00,7.214E+00,6.867E+00
1.500E-03,2.978E-01,9.858E-02,1.752E+00,2.148E+00,1.850E+00
2.000E-03,2.474E-01,1.481E-01,6.638E-01,1.059E+00,8.118E-01
3.000E-03,1.651E-01,2.284E-01,1.677E-01,5.611E-01,3.960E-01
4.000E-03,1.124E-01,2.793E-01,6.291E-02,4.546E-01,3.422E-01
5.000E-03,8.012E-02,3.099E-01,2.932E-02,4.193E-01,3.392E-01
6.000E-03,5.968E-02,3.288E-01,1.570E-02,4.042E-01,3.445E-01
8.000E-03,3.660E-02,3.489E-01,5.865E-03,3.914E-01,3.548E-01
1.000E-02,2.462E-02,3.581E-01,2.723E-03,3.854E-01,3.608E-01
1.500E-02,1.161E-02,3.642E-01,6.739E-04,3.764E-01,3.648E-01
2.000E-02,6.686E-03,3.625E-01,2.499E-04,3.695E-01,3.628E-01
3.000E-02,3.024E-03,3.539E-01,6.166E-05,3.570E-01,3.540E-01
4.000E-02,1.712E-03,3.441E-01,2.284E-05,3.458E-01,3.441E-01
5.000E-02,1.099E-03,3.344E-01,1.058E-05,3.355E-01,3.344E-01
6.000E-02,7.648E-04,3.253E-01,5.649E-06,3.260E-01,3.253E-01
8.000E-02,4.308E-04,3.087E-01,2.105E-06,3.091E-01,3.087E-01
1.000E-01,2.760E-04,2.941E-01,9.822E-07,2.944E-01,2.941E-01
1.500E-01,1.228E-04,2.650E-01,2.495E-07,2.651E-01,2.650E-01
